/baseline,/kmeans_10,/kmeans_20,/kmeans_30,/kmeans_50,/kmeans_55,/kmeans_60,/kmeans_80,/kmeans_85,/kmeans_90,/kmeans_95
0.0000000000,0.4249390000,0.5650830000,0.5650830000,0.5650830000,0.5650830000,0.5650830000,0.5650830000,0.5650830000,0.5650830000,0.5650830000,0.5650830000
0.0000000000,0.5132340000,0.6409750000,0.6409750000,0.6409750000,0.6409750000,0.6409750000,0.6409750000,0.6409750000,0.6409750000,0.6409750000,0.6409750000
0.0000000000,0.5041870000,0.6537910000,0.6537910000,0.6537910000,0.6537910000,0.6537910000,0.6537910000,0.6537910000,0.6537910000,0.6537910000,0.6537910000
0.0000000000,0.5136980000,0.6760410000,0.6760410000,0.6760410000,0.6760410000,0.6760410000,0.6760410000,0.6760410000,0.6760410000,0.6760410000,0.6760410000
0.0000000000,0.5443040000,0.6946780000,0.6946780000,0.6946780000,0.6946780000,0.6946780000,0.6946780000,0.6946780000,0.6946780000,0.6946780000,0.6946780000
0.0000000000,0.5242350000,0.6916670000,0.6916670000,0.6916670000,0.6916670000,0.6916670000,0.6916670000,0.6916670000,0.6916670000,0.6916670000,0.6916670000
0.0000000000,0.4991990000,0.6503630000,0.6503630000,0.6503630000,0.6503630000,0.6503630000,0.6503630000,0.6503630000,0.6503630000,0.6503630000,0.6503630000
0.0000000000,0.5857880000,0.7223220000,0.7223220000,0.7223220000,0.7223220000,0.7223220000,0.7223220000,0.7223220000,0.7223220000,0.7223220000,0.7223220000
0.0000000000,0.5899940000,0.7266920000,0.7266920000,0.7266920000,0.7266920000,0.7266920000,0.7266920000,0.7266920000,0.7266920000,0.7266920000,0.7266920000
0.0000000000,0.6091870000,0.7377610000,0.7377610000,0.7377610000,0.7377610000,0.7377610000,0.7377610000,0.7377610000,0.7377610000,0.7377610000,0.7377610000
0.0000000000,0.5941080000,0.7393120000,0.7393120000,0.7393120000,0.7393120000,0.7393120000,0.7393120000,0.7393120000,0.7393120000,0.7393120000,0.7393120000
0.0000000000,0.5639580000,0.7063130000,0.7063130000,0.7063130000,0.7063130000,0.7063130000,0.7063130000,0.7063130000,0.7063130000,0.7063130000,0.7063130000
0.0000000000,0.6291440000,0.7573480000,0.7573480000,0.7573480000,0.7573480000,0.7573480000,0.7573480000,0.7573480000,0.7573480000,0.7573480000,0.7573480000
0.0000000000,0.6243380000,0.7655670000,0.7655670000,0.7655670000,0.7655670000,0.7655670000,0.7655670000,0.7655670000,0.7655670000,0.7655670000,0.7655670000
0.0000000000,0.6518260000,0.7756120000,0.7756120000,0.7756120000,0.7756120000,0.7756120000,0.7756120000,0.7756120000,0.7756120000,0.7756120000,0.7756120000
0.0000000000,0.6290860000,0.7618720000,0.7618720000,0.7618720000,0.7618720000,0.7618720000,0.7618720000,0.7618720000,0.7618720000,0.7618720000,0.7618720000
0.0000000000,0.6452680000,0.7670800000,0.7670800000,0.7670800000,0.7670800000,0.7670800000,0.7670800000,0.7670800000,0.7670800000,0.7670800000,0.7670800000
0.0000000000,0.6764370000,0.7866420000,0.7866420000,0.7866420000,0.7866420000,0.7866420000,0.7866420000,0.7866420000,0.7866420000,0.7866420000,0.7866420000
0.0000000000,0.6680400000,0.7738970000,0.7738970000,0.7738970000,0.7738970000,0.7738970000,0.7738970000,0.7738970000,0.7738970000,0.7738970000,0.7738970000
0.0000000000,0.6874780000,0.7819310000,0.7819310000,0.7819310000,0.7819310000,0.7819310000,0.7819310000,0.7819310000,0.7819310000,0.7819310000,0.7819310000
0.0000000000,0.6977770000,0.8047130000,0.8047130000,0.8047130000,0.8047130000,0.8047130000,0.8047130000,0.8047130000,0.8047130000,0.8047130000,0.8047130000
0.0000000000,0.6984470000,0.8021110000,0.8021110000,0.8021110000,0.8021110000,0.8021110000,0.8021110000,0.8021110000,0.8021110000,0.8021110000,0.8021110000
0.0000000000,0.7038650000,0.8090690000,0.8090690000,0.8090690000,0.8090690000,0.8090690000,0.8090690000,0.8090690000,0.8090690000,0.8090690000,0.8090690000
0.0000000000,0.7072580000,0.8055900000,0.8055900000,0.8055900000,0.8055900000,0.8055900000,0.8055900000,0.8055900000,0.8055900000,0.8055900000,0.8055900000
0.0000000000,0.7125010000,0.8071160000,0.8071160000,0.8071160000,0.8071160000,0.8071160000,0.8071160000,0.8071160000,0.8071160000,0.8071160000,0.8071160000
0.0000000000,0.6995300000,0.7969140000,0.7969140000,0.7969140000,0.7969140000,0.7969140000,0.7969140000,0.7969140000,0.7969140000,0.7969140000,0.7969140000
0.0000000000,0.7107240000,0.8016910000,0.8016910000,0.8016910000,0.8016910000,0.8016910000,0.8016910000,0.8016910000,0.8016910000,0.8016910000,0.8016910000
0.0000000000,0.6972460000,0.8179100000,0.8179100000,0.8179100000,0.8179100000,0.8179100000,0.8179100000,0.8179100000,0.8179100000,0.8179100000,0.8179100000
0.0000000000,0.7254610000,0.8145160000,0.8145160000,0.8145160000,0.8145160000,0.8145160000,0.8145160000,0.8145160000,0.8145160000,0.8145160000,0.8145160000
0.0000000000,0.7134850000,0.8026530000,0.8026530000,0.8026530000,0.8026530000,0.8026530000,0.8026530000,0.8026530000,0.8026530000,0.8026530000,0.8026530000
0.0000000000,0.7177100000,0.8010960000,0.8010960000,0.8010960000,0.8010960000,0.8010960000,0.8010960000,0.8010960000,0.8010960000,0.8010960000,0.8010960000
0.0000000000,0.7377040000,0.8168090000,0.8168090000,0.8168090000,0.8168090000,0.8168090000,0.8168090000,0.8168090000,0.8168090000,0.8168090000,0.8168090000
0.0000000000,0.7471700000,0.8274050000,0.8274050000,0.8274050000,0.8274050000,0.8274050000,0.8274050000,0.8274050000,0.8274050000,0.8274050000,0.8274050000
0.0000000000,0.7308650000,0.8096550000,0.8096550000,0.8096550000,0.8096550000,0.8096550000,0.8096550000,0.8096550000,0.8096550000,0.8096550000,0.8096550000
0.0000000000,0.7445760000,0.8270610000,0.8270610000,0.8270610000,0.8270610000,0.8270610000,0.8270610000,0.8270610000,0.8270610000,0.8270610000,0.8270610000
