/baseline,/kmeans_10,/kmeans_20,/kmeans_30,/kmeans_50,/kmeans_55,/kmeans_60,/kmeans_80,/kmeans_85,/kmeans_90,/kmeans_95
0.0000000000,1.2420900000,0.7624800000,0.7624800000,0.7624800000,0.7624800000,0.7624800000,0.7624800000,0.7624800000,0.7624800000,0.7624800000,0.7624800000
0.0000000000,1.1490200000,0.6924470000,0.6924470000,0.6924470000,0.6924470000,0.6924470000,0.6924470000,0.6924470000,0.6924470000,0.6924470000,0.6924470000
0.0000000000,1.1468400000,0.7283720000,0.7283720000,0.7283720000,0.7283720000,0.7283720000,0.7283720000,0.7283720000,0.7283720000,0.7283720000,0.7283720000
0.0000000000,1.1126100000,0.7213290000,0.7213290000,0.7213290000,0.7213290000,0.7213290000,0.7213290000,0.7213290000,0.7213290000,0.7213290000,0.7213290000
0.0000000000,1.0593600000,0.6406910000,0.6406910000,0.6406910000,0.6406910000,0.6406910000,0.6406910000,0.6406910000,0.6406910000,0.6406910000,0.6406910000
0.0000000000,1.0502000000,0.6390430000,0.6390430000,0.6390430000,0.6390430000,0.6390430000,0.6390430000,0.6390430000,0.6390430000,0.6390430000,0.6390430000
0.0000000000,1.0234900000,0.6245900000,0.6245900000,0.6245900000,0.6245900000,0.6245900000,0.6245900000,0.6245900000,0.6245900000,0.6245900000,0.6245900000
0.0000000000,0.9984250000,0.6229880000,0.6229880000,0.6229880000,0.6229880000,0.6229880000,0.6229880000,0.6229880000,0.6229880000,0.6229880000,0.6229880000
0.0000000000,1.0031400000,0.6299210000,0.6299210000,0.6299210000,0.6299210000,0.6299210000,0.6299210000,0.6299210000,0.6299210000,0.6299210000,0.6299210000
0.0000000000,1.0169900000,0.6528170000,0.6528170000,0.6528170000,0.6528170000,0.6528170000,0.6528170000,0.6528170000,0.6528170000,0.6528170000,0.6528170000
0.0000000000,0.9684200000,0.6274740000,0.6274740000,0.6274740000,0.6274740000,0.6274740000,0.6274740000,0.6274740000,0.6274740000,0.6274740000,0.6274740000
0.0000000000,1.0305100000,0.5819080000,0.5819080000,0.5819080000,0.5819080000,0.5819080000,0.5819080000,0.5819080000,0.5819080000,0.5819080000,0.5819080000
0.0000000000,0.9268490000,0.5804220000,0.5804220000,0.5804220000,0.5804220000,0.5804220000,0.5804220000,0.5804220000,0.5804220000,0.5804220000,0.5804220000
0.0000000000,0.9656910000,0.6314080000,0.6314080000,0.6314080000,0.6314080000,0.6314080000,0.6314080000,0.6314080000,0.6314080000,0.6314080000,0.6314080000
0.0000000000,0.9487660000,0.6119110000,0.6119110000,0.6119110000,0.6119110000,0.6119110000,0.6119110000,0.6119110000,0.6119110000,0.6119110000,0.6119110000
0.0000000000,0.8744000000,0.5577620000,0.5577620000,0.5577620000,0.5577620000,0.5577620000,0.5577620000,0.5577620000,0.5577620000,0.5577620000,0.5577620000
0.0000000000,0.8475400000,0.5428790000,0.5428790000,0.5428790000,0.5428790000,0.5428790000,0.5428790000,0.5428790000,0.5428790000,0.5428790000,0.5428790000
0.0000000000,0.8897970000,0.6103260000,0.6103260000,0.6103260000,0.6103260000,0.6103260000,0.6103260000,0.6103260000,0.6103260000,0.6103260000,0.6103260000
0.0000000000,0.8421070000,0.5335650000,0.5335650000,0.5335650000,0.5335650000,0.5335650000,0.5335650000,0.5335650000,0.5335650000,0.5335650000,0.5335650000
