f3232_11,1,,173,train,126976,101582,0,126976,1980452250
f0079_06,1,,262,train,126976,101582,0,126976,3036693450
f2541_99,1,,174,train,126976,101582,0,126976,1980452250
f1340_02,1,,276,train,126976,101582,0,126976,3168723600
f3217_28,1,,181,train,126976,101582,0,126976,2112482400
f2312_87,2,,159,train,126961,101569,0,126943,1848422100
f1652_11,2,,166,train,126961,101569,0,126943,1848422100
f1894_39,2,,155,train,126961,101571,0,126943,1716391950
f3665_22,2,,170,train,126962,101572,0,126943,1980452250
f0655_10,2,,206,train,126962,101570,0,126943,2376542700
f0213_49,3,,179,train,126941,101553,0,126916,2112482400
f0478_10,3,,349,train,126940,101551,0,126916,4092934650
f3892_07,3,,180,train,126940,101556,0,126916,2112482400
f0496_09,3,,359,train,126940,101557,0,126916,4224964800
f0655_10,3,,206,train,126940,101555,0,126916,2376542700
f0060_43,4,,304,train,126928,101541,0,126902,3564814050
f1357_25,4,,327,train,126927,101544,0,126902,3828874350
f0783_27,4,,388,train,126925,101545,1,126902,4489025100
f0924_33,4,,246,train,126925,101541,0,126902,2904663300
f4042_33,4,,167,train,126925,101543,0,126902,1980452250
f3785_26,5,,156,train,126913,101528,0,126889,1848422100
f3345_12,5,,181,train,126913,101530,0,126889,2112482400
f0263_31,5,,350,train,126914,101536,0,126889,4092934650
f0832_40,5,,228,train,126914,101529,0,126889,2640603000
f1599_48,5,,150,train,126912,101530,0,126889,1716391950
f0520_25,6,,328,train,126900,101527,0,126885,3828874350
f1241_00,6,,387,train,126901,101518,1,126885,4489025100
f0035_19,6,,417,train,126901,101521,1,126885,4885115550
f0343_35,6,,366,train,126901,101527,0,126885,4224964800
f3276_49,6,,174,train,126900,101520,0,126885,1980452250
f0554_17,7,,394,train,126885,101510,1,126867,4621055250
f1894_39,7,,155,train,126885,101506,0,126867,1716391950
f1813_25,7,,151,train,126885,101512,0,126867,1716391950
f2597_88,7,,157,train,126885,101506,0,126867,1848422100
f0391_32,7,,283,train,126885,101506,0,126867,3300753750
f3269_06,8,,148,train,126864,101489,0,126839,1716391950
f0656_11,8,,303,train,126866,101496,0,126839,3564814050
f3908_41,8,,178,train,126863,101495,0,126839,2112482400
f3354_29,8,,182,train,126864,101495,0,126839,2112482400
f2544_53,8,,167,train,126864,101497,0,126839,1980452250
f0497_00,9,,289,train,126845,101474,0,126823,3432783900
f1084_48,9,,285,train,126845,101489,0,126823,3300753750
